scenario_id,demand_point_id,demand_zone,hub_id,packages_per_hour,oneway_distance_km,roundtrip_distance_km,response_min,mission_cycle_min
S03,D_500_Mina_0072,Mina,HUB_006,1,0.5352976653184747,1.0705953306369493,1.5947751836871942,31.189550367374387
S03,D_500_Mina_0073,Mina,HUB_058,1,0.8429783264607266,1.6859566529214531,1.9366425849563629,31.873285169912727
S03,D_500_Mina_0074,Mina,HUB_042,1,0.2110646543345511,0.4221293086691022,1.2345162825939457,30.46903256518789
S03,D_500_Mina_0075,Mina,HUB_042,1,0.5318152981009755,1.063630596201951,1.5909058867788617,31.181811773557722
S03,D_500_Mina_0076,Mina,HUB_042,1,1.0127578658314746,2.0255157316629493,2.1252865175905273,32.250573035181056
S03,D_500_Mina_0077,Mina,HUB_042,1,1.507680477831425,3.01536095566285,2.6752005309238056,33.35040106184761
S03,D_500_Mina_0084,Mina,HUB_058,1,1.3218050532616656,2.6436101065233313,2.468672281401851,32.9373445628037
S03,D_500_Mina_0085,Mina,HUB_042,1,0.2890986875312917,0.5781973750625834,1.3212207639236575,30.642441527847314
S03,D_500_Mina_0093,Mina,HUB_006,1,1.1691792626917397,2.3383585253834793,2.2990880696574885,32.59817613931498
S03,D_500_Mina_0094,Mina,HUB_006,1,1.4680985740829433,2.9361971481658866,2.631220637869937,33.262441275739874
S03,D_500_Muzdalifah_0012,Muzdalifah,HUB_006,1,0.3479433728128283,0.6958867456256566,1.3866037475698092,30.77320749513962
S03,D_500_Muzdalifah_0030,Muzdalifah,HUB_006,1,1.2337210848544284,2.467442169708857,2.3708012053938097,32.74160241078762
S04,D_500_Haram_Makkah_0094,Haram_Makkah,HUB_043,1,1.662636026574197,3.325272053148394,2.847373362860219,33.694746725720435
S04,D_500_Haram_Makkah_0095,Haram_Makkah,HUB_049,1,2.8727947492452257,5.745589498490451,4.191994165828028,36.383988331656056
S04,D_500_Haram_Makkah_0096,Haram_Makkah,HUB_015,1,0.4960078024433755,0.992015604886751,1.5511197804926393,31.10223956098528
