location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score
OSM_WAY_375399296,way,375399296,مستشفى الشفاء الطبي,Hospital Shifa,مستشفى الشفاء الطبي,Hospital Shifa,Hospital Shifa,hospital,hospital,,,,21.415583055937315,39.80652632624844,OpenStreetMap,True,True,True,hospital shifa,21.41558,39.80653,False,80
OSM_WAY_379522469,way,379522469,مدينة الملك عبدالله الطبية,King Abdullah Medical City Hospital,,King Abdullah Medical City Hospital,King Abdullah Medical City Hospital,hospital,hospital,,yes,,21.38116139449817,39.88130373859744,OpenStreetMap,True,True,True,king abdullah medical city hospital,21.38116,39.8813,False,80
OSM_WAY_457319394,way,457319394,الهلال الاحمر,Hilal Ahmar,الهلال الاحمر,Hilal Ahmar,Hilal Ahmar,hospital,hospital,,,,21.388754680165658,39.92286031123547,OpenStreetMap,True,True,True,hilal ahmar,21.38875,39.92286,False,80
OSM_WAY_457321838,way,457321838,Eastern Arafat Hospital,Eastern Arafat Hospital,,Eastern Arafat Hospital,Eastern Arafat Hospital,hospital,hospital,hospital,,,21.33468009963513,39.987464969428345,OpenStreetMap,True,True,True,eastern arafat hospital,21.33468,39.98746,False,80
OSM_WAY_457324471,way,457324471,Medical Center,Medical Center,,Medical Center,Medical Center,hospital,hospital,,,,21.371282489216433,39.93799241640427,OpenStreetMap,True,True,True,medical center,21.37128,39.93799,False,80
OSM_WAY_457454052,way,457454052,مستشفى الملك فيصل التخصصي,King Faisal Hospital,مستشفى الملك فيصل التخصصي,King Faisal Hospital,King Faisal Hospital,hospital,hospital,hospital,,,21.434479471657884,39.85338079811359,OpenStreetMap,True,True,True,king faisal hospital,21.43448,39.85338,False,80
OSM_WAY_457509225,way,457509225,SHIFA AL BARAKA MEDICAL CENTER,SHIFA AL BARAKA MEDICAL CENTER,,SHIFA AL BARAKA MEDICAL CENTER,SHIFA AL BARAKA MEDICAL CENTER,hospital,hospital,,,,21.437866521919123,39.804945908681795,OpenStreetMap,True,True,True,shifa al baraka medical center,21.43787,39.80495,False,80
OSM_WAY_457509472,way,457509472,مستشفى الملك عبد العزيز,Hospital King Abdulaziz,مستشفى الملك عبد العزيز,Hospital King Abdulaziz,Hospital King Abdulaziz,hospital,hospital,,,,21.4417766315203,39.807258528060444,OpenStreetMap,True,True,True,hospital king abdulaziz,21.44178,39.80726,False,80
OSM_WAY_457991013,way,457991013,مستشفى الولادة و الأطفال,Maternity and Children Hospital,مستشفى الولادة و الأطفال,Maternity and Children Hospital,Maternity and Children Hospital,hospital,hospital,,,,21.374555513204054,39.88133151519134,OpenStreetMap,True,True,True,maternity and children hospital,21.37456,39.88133,False,80
OSM_WAY_457991153,way,457991153,مستشفى قوى الأمن,Security Forces Hospital,,Security Forces Hospital,Security Forces Hospital,hospital,hospital,,,,21.365586333155576,39.8925267743572,OpenStreetMap,True,True,True,security forces hospital,21.36559,39.89253,False,80
OSM_WAY_461205063,way,461205063,Al Hajj Street Health Center مركز صحي شارع الحج,,Al Hajj Street Health Center مركز صحي شارع الحج,Al Hajj Street Health Center مركز صحي شارع الحج,Al Hajj Street Health Center مركز صحي شارع الحج,hospital,hospital,,,,21.461554449352068,39.850066134435735,OpenStreetMap,True,True,True,al hajj street health center مركز صحي شارع الحج,21.46155,39.85007,False,80
OSM_WAY_520141095,way,520141095,مستشفى الطوارئ بمنى,Mina Emergency Hospital,مستشفى الطوارئ بمنى,Mina Emergency Hospital,Mina Emergency Hospital,hospital,hospital,hospital,,,21.413654430364538,39.88011344235567,OpenStreetMap,True,True,True,mina emergency hospital,21.41365,39.88011,False,80
OSM_WAY_589738245,way,589738245,مركز صحي الشافعي,,,مركز صحي الشافعي,مركز صحي الشافعي,hospital,hospital,hospital,,,21.366836045366952,39.77325078563394,OpenStreetMap,True,True,True,مركز صحي الشافعي,21.36684,39.77325,False,80
OSM_WAY_670889758,way,670889758,الهلال الاحمر,Red Crescent,الهلال الاحمر,Red Crescent,Red Crescent,hospital,hospital,hospital,,,21.422420500030203,39.82310754985782,OpenStreetMap,True,True,True,red crescent,21.42242,39.82311,False,80
OSM_WAY_676402012,way,676402012,المركز الطبي الجامعي,University Medical Center,المركز الطبي الجامعي,University Medical Center,University Medical Center,hospital,hospital,hospital,,,21.408916536018644,39.86400413557941,OpenStreetMap,True,True,True,university medical center,21.40892,39.864,False,80
OSM_WAY_718113483,way,718113483,مستشفى الحرس الوطني الميداني,National Guard Hospital,مستشفى الحرس الوطني الميداني,National Guard Hospital,National Guard Hospital,hospital,hospital,hospital,,,21.405893675544224,39.89207000859229,OpenStreetMap,True,True,True,national guard hospital,21.40589,39.89207,False,80
OSM_WAY_1086093256,way,1086093256,مركز مكة الطبي,Makkah Medical Center,مركز مكة الطبي,Makkah Medical Center,Makkah Medical Center,hospital,hospital,hospital,,"6765, Al Madinah Al Munawarah Road",21.494956940814124,39.793966464315474,OpenStreetMap,True,True,True,makkah medical center,21.49496,39.79397,False,100
