location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score
OSM_NODE_6718195234,node,6718195234,Red Crescent Ambulance Station - 8,,,Red Crescent Ambulance Station - 8,Red Crescent Ambulance Station - 8,doctors,doctors,doctor,,,21.417978900000005,39.8968646,OpenStreetMap,True,False,False,red crescent ambulance station 8,21.41798,39.89686,False,80
OSM_NODE_6720791863,node,6720791863,Red Crescent Ambulance Station - 4,,,Red Crescent Ambulance Station - 4,Red Crescent Ambulance Station - 4,doctors,doctors,doctor,,,21.412901499999997,39.8987501,OpenStreetMap,True,False,False,red crescent ambulance station 4,21.4129,39.89875,False,80
OSM_NODE_6720794826,node,6720794826,Red Crescent Ambulance Station - 25,,,Red Crescent Ambulance Station - 25,Red Crescent Ambulance Station - 25,doctors,doctors,doctor,,,21.4253439,39.8937933,OpenStreetMap,True,False,False,red crescent ambulance station 25,21.42534,39.89379,False,80
OSM_NODE_6720856542,node,6720856542,Red Crescent Ambulance Station - 13,,,Red Crescent Ambulance Station - 13,Red Crescent Ambulance Station - 13,doctors,doctors,doctor,,,21.416983799999997,39.8861822,OpenStreetMap,True,False,False,red crescent ambulance station 13,21.41698,39.88618,False,80
OSM_NODE_6720966336,node,6720966336,Red Crescent Ambulance Station - 9,,,Red Crescent Ambulance Station - 9,Red Crescent Ambulance Station - 9,doctors,doctors,doctor,,,21.414540100000004,39.89265240000001,OpenStreetMap,True,False,False,red crescent ambulance station 9,21.41454,39.89265,False,80
OSM_NODE_6744500748,node,6744500748,Clinic - 15 Health Care Center,,,Clinic - 15 Health Care Center,Clinic - 15 Health Care Center,clinic,clinic,clinic,,,21.422347799999997,39.875481,OpenStreetMap,True,False,False,clinic 15 health care center,21.42235,39.87548,False,80
OSM_NODE_6744521336,node,6744521336,Red Crescent Ambulance Station - 22,,,Red Crescent Ambulance Station - 22,Red Crescent Ambulance Station - 22,doctors,doctors,doctor,,,21.4249143,39.8724128,OpenStreetMap,True,False,False,red crescent ambulance station 22,21.42491,39.87241,False,80
OSM_NODE_6744521337,node,6744521337,Red Crescent Ambulance Station - 20,,,Red Crescent Ambulance Station - 20,Red Crescent Ambulance Station - 20,doctors,doctors,doctor,,,21.4234564,39.8732423,OpenStreetMap,True,False,False,red crescent ambulance station 20,21.42346,39.87324,False,80
OSM_NODE_6744534962,node,6744534962,Red Crescent Ambulance Station - 17,,,Red Crescent Ambulance Station - 17,Red Crescent Ambulance Station - 17,doctors,doctors,doctor,,,21.4200507,39.8782609,OpenStreetMap,True,False,False,red crescent ambulance station 17,21.42005,39.87826,False,80
OSM_NODE_6744550068,node,6744550068,Red Crescent Ambulance Station - 11,,,Red Crescent Ambulance Station - 11,Red Crescent Ambulance Station - 11,doctors,doctors,doctor,,,21.412869,39.8855925,OpenStreetMap,True,False,False,red crescent ambulance station 11,21.41287,39.88559,False,80
