location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score,dist_Haram_Makkah_km,dist_Mina_km,dist_Muzdalifah_km,dist_Arafat_km,hajj_zone,flag_possible_duplicate,flag_low_completeness,flag_other_healthcare,flag_seasonal_mismatch,flag_unnamed,needs_manual_review,hub_id,candidate_hub,operational_feasibility,drone_regulatory_approval,landing_takeoff_space,charging_capability,medical_inventory_capability,facility_type_prior,hajj_zone_relevance,osm_completeness_0_1,preliminary_suitability_score,demand_cells_within_5km,uniform_weight_covered_5km,proxy_weight_covered_5km,proxy_coverage_share_5km
OSM_NODE_11870738495,node,11870738495,مركز صحي موسمي رقم 18,MarkazSihhiMawsimiRaqmThamaniyat`Ashar,مركز صحي موسمي رقم 18,MarkazSihhiMawsimiRaqmThamaniyat`Ashar,MarkazSihhiMawsimiRaqmThamaniyat'Ashar,seasonal_health_center,,centre,,,21.348293899999998,39.9762993,OpenStreetMap,True,True,True,markazsihhimawsimiraqmthamaniyatashar,21.34829,39.9763,False,80,17.824404094089076,11.426736111732989,7.612139211041697,1.0035600616899478,Arafat,False,False,False,False,False,False,HUB_031,True,unknown,unknown,unknown,unknown,unknown,0.95,1.0,0.8,93.5,156,156.0,161.2039087947883,0.23437636156291325
OSM_NODE_11870738579,node,11870738579,مركز صحي موسمي رقم 11,MarkazSihhiMawsimiRaqmAhad`Ashar,مركز صحي موسمي رقم 11,MarkazSihhiMawsimiRaqmAhad`Ashar,MarkazSihhiMawsimiRaqmAhad'Ashar,seasonal_health_center,,centre,,,21.343777999999997,39.972725,OpenStreetMap,True,True,True,markazsihhimawsimiraqmahadashar,21.34378,39.97272,False,80,17.745667481101762,11.486612162020444,7.6055369981189465,1.6258422723775612,Arafat,False,False,False,False,False,False,HUB_032,True,unknown,unknown,unknown,unknown,unknown,0.95,1.0,0.8,93.5,155,155.0,160.20390879478833,0.23292244916516075
OSM_NODE_11870950901,node,11870950901,الشرائع العليا,AshShara'i`al`Ulya,الشرائع العليا,AshShara'i`al`Ulya,AshShara'i'al'Ulya,hospital,hospital,hospital,,,21.515059099999995,40.063808900000005,OpenStreetMap,True,True,True,ashsharaialulya,21.51506,40.06381,False,80,26.70692155247882,20.901203679869994,20.983844382613825,19.583210687854493,Greater_Makkah,False,False,False,False,False,False,HUB_033,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,0,0.0,0.0,0.0
OSM_NODE_11870951224,node,11870951224,مركز صحي موسمي رقم 3,MarkazSihhiMawsimiRaqmThalathah,مركز صحي موسمي رقم 3,MarkazSihhiMawsimiRaqmThalathah,MarkazSihhiMawsimiRaqmThalathah,seasonal_health_center,,centre,,,21.3411317,39.9716879,OpenStreetMap,True,True,True,markazsihhimawsimiraqmthalathah,21.34113,39.97169,False,80,17.803154790503967,11.614382940285617,7.708347894987114,1.9267683604519705,Arafat,False,False,False,False,False,False,HUB_034,True,unknown,unknown,unknown,unknown,unknown,0.95,1.0,0.8,93.5,149,149.0,154.19348534201959,0.2241838199914376
OSM_NODE_11871306606,node,11871306606,مركز صحي موسمي رقم 16,MarkazSihhiMawsimiRaqmSittat`Ashar,مركز صحي موسمي رقم 16,MarkazSihhiMawsimiRaqmSittat`Ashar,MarkazSihhiMawsimiRaqmSittat'Ashar,seasonal_health_center,,centre,,,21.345993,39.978065,OpenStreetMap,True,True,True,markazsihhimawsimiraqmsittatashar,21.34599,39.97806,False,80,18.106879390179877,11.731650438156537,7.9063824064262676,1.136447139285845,Arafat,False,False,False,False,False,False,HUB_035,True,unknown,unknown,unknown,unknown,unknown,0.95,1.0,0.8,93.5,156,156.0,161.2039087947883,0.23437636156291325
OSM_NODE_11871652226,node,11871652226,مركز صحي موسمي رقم 10,MarkazSihhiMawsimiRaqm`Asharah,مركز صحي موسمي رقم 10,MarkazSihhiMawsimiRaqm`Asharah,MarkazSihhiMawsimiRaqm'Asharah,seasonal_health_center,,centre,,,21.344530000000002,39.969909,OpenStreetMap,True,True,True,markazsihhimawsimiraqmasharah,21.34453,39.96991,False,80,17.451678338026237,11.218681727206587,7.325669810154815,1.7575986069930798,Arafat,False,False,False,False,False,False,HUB_036,True,unknown,unknown,unknown,unknown,unknown,0.95,1.0,0.8,93.5,155,155.0,160.2039087947883,0.2329224491651607
OSM_NODE_12054556416,node,12054556416,المستشفى السعودي الالماني,,,المستشفى السعودي الالماني,المستشفى السعودي الالماني,hospital,hospital,hospital,yes,24352,21.2824093,39.8244284,OpenStreetMap,True,True,True,المستشفى السعودي الالماني,21.28241,39.82443,False,100,15.734231813201507,16.321222537298066,14.861596866863811,18.24985142399099,Greater_Makkah,False,False,False,False,False,False,HUB_037,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,1.0,77.49999999999999,0,0.0,0.0,0.0
OSM_WAY_131655352,way,131655352,Arafat General hospital,Arafat General hospital,,Arafat General hospital,Arafat General hospital,hospital,hospital,,,,21.35006841829966,39.9836377010321,OpenStreetMap,True,True,True,arafat general hospital,21.35007,39.98364,False,80,18.15136015398615,11.64370058693861,7.903856765093005,0.42844369573060487,Arafat,False,False,False,False,False,False,HUB_038,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,156,156.0,161.2039087947883,0.23437636156291325
OSM_WAY_132325101,way,132325101,مستشفى جبل الرحمة,Jabal Al-Rahmah Hospital,مستشفى جبل الرحمة,Jabal Al-Rahmah Hospital,Jabal Al-Rahmah Hospital,hospital,hospital,hospital,yes,,21.352803837677783,39.98364361556893,OpenStreetMap,True,True,True,jabal alrahmah hospital,21.3528,39.98364,False,80,18.177113309748737,11.620412951493936,7.915904959568469,0.25850943840658896,Arafat,False,False,False,False,False,False,HUB_039,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,156,156.0,161.2039087947883,0.23437636156291325
OSM_WAY_133219649,way,133219649,مستشفى منى الشارع الجديد,Mina Al-Share’a Al-Jadeed Hospital,مستشفى منى الشارع الجديد,Mina Al-Share’a Al-Jadeed Hospital,Mina Al-Share’a Al-Jadeed Hospital,hospital,hospital,hospital,,,21.411264651495998,39.8905846556361,OpenStreetMap,True,True,True,mina alsharea aljadeed hospital,21.41126,39.89058,False,80,6.918922458483003,0.47101149528252895,3.721497953377722,11.289008775205522,Mina,False,False,False,False,False,False,HUB_040,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,205,205.0,284.54136807817594,0.41369822272233026
